customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-00001,Male,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,70.02,3570.17,Yes
C-00002,Male,0,No,Yes,14,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.57, ,No
C-00003,Male,0,Yes,Yes,71,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),19.53,1381.46,No
C-00004,Female,0,No,Yes,60,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),96.06,5758.6,Yes
C-00005,Male,1,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,54.16,1073.31,No
C-00006,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),58.64,1340.38,No
C-00007,Female,0,No,No,2,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Mailed check,98.94,188.16,No
C-00008,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),55.93,1180.26,No
C-00009,Female,1,No,Yes,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),22.72,1184.5,Yes
C-00010,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),35.64,35.91,No
C-00011,Female,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,113.59,3313.53,Yes
C-00012,Male,0,Yes,No,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),25.04,917.22,No
C-00013,Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,53.49,64.68,No
C-00014,Female,0,No,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,68.32,4301.56,No
C-00015,Female,0,No,Yes,59,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),67.33,3974.04,No
C-00016,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,18.4,374.71,No
