show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Crown 2,,"Cate Blanchett, Meryl Streep, Brad Pitt, Leonardo DiCaprio",United States,"October 7, 2013",2012,PG-13,121 min,Horror Movies,A story about The.
s2,Movie,Stranger Things 36,Ava DuVernay,"Leonardo DiCaprio, Brad Pitt",United States,"June 26, 2018",2018,TV-14,104 min,"Documentaries, Children & Family Movies",A story about Stranger.
s3,Movie,Breaking Bad 41,Guillermo del Toro,"Meryl Streep, Jennifer Aniston",United States,"October 13, 2016",2016,TV-14,152 min,"Action & Adventure, Thrillers",A story about Breaking.
s4,TV Show,Narcos 10,,"Cate Blanchett, Jennifer Aniston",United States,"September 24, 2019",2019,G,4 Season,Dramas,A story about Narcos.
s5,Movie,Dark 41,Ryan Murphy,"Jennifer Aniston, Meryl Streep, Leonardo DiCaprio, Cate Blanchett",United States,"August 9, 2022",2021,PG,75 min,"Documentaries, Dramas",A story about Dark.
s6,Movie,Money Heist 19,Ryan Murphy,"Leonardo DiCaprio, Brad Pitt, Jennifer Aniston, Meryl Streep",Brazil,"September 3, 2013",2013,TV-PG,109 min,International Movies,A story about Money.
s7,TV Show,Squid Game 5,David Fincher,,United Kingdom,"April 22, 2012",2010,TV-PG,4 Season,Dramas,A story about Squid.
s8,Movie,Ozark 6,Ryan Murphy,"Jennifer Aniston, Tom Hanks, Meryl Streep, Cate Blanchett",United States,"October 20, 2014",2013,G,90 min,"Documentaries, Thrillers",A story about Ozark.
s9,Movie,Mindhunter 2,Guillermo del Toro,"Leonardo DiCaprio, Brad Pitt, Cate Blanchett",Spain,"February 6, 2015",2014,TV-14,75 min,"Action & Adventure, Romantic Movies",A story about Mindhunter.
s10,Movie,Lupin 24,Guillermo del Toro,"Jennifer Aniston, Meryl Streep",United States,"February 23, 2010",2008,TV-MA,155 min,Thrillers,A story about Lupin.
s11,Movie,Inception 36,Guillermo del Toro,"Cate Blanchett, Leonardo DiCaprio, Tom Hanks, Jennifer Aniston",Canada,"December 4, 2012",2010,PG-13,173 min,"Dramas, Documentaries",A story about Inception.
s12,Movie,The Irishman 2,,"Cate Blanchett, Leonardo DiCaprio, Jennifer Aniston, Tom Hanks",United States,"October 13, 2018",2018,G,125 min,"Horror Movies, Documentaries",A story about The.
s13,Movie,Bird Box 49,,"Leonardo DiCaprio, Cate Blanchett",India,"October 24, 2009",2009,NR,113 min,Thrillers,A story about Bird.
s14,TV Show,Extraction 30,Christopher Nolan,"Meryl Streep, Tom Hanks, Brad Pitt, Cate Blanchett",United States,"January 22, 2017",2015,PG-13,4 Season,"Dramas, Documentaries",A story about Extraction.
s15,Movie,The Old Guard 39,Ava DuVernay,"Jennifer Aniston, Meryl Streep, Tom Hanks, Brad Pitt",United States,"March 21, 2017",2017,TV-PG,127 min,Children & Family Movies,A story about The.
s16,TV Show,Bright 44,Ava DuVernay,"Meryl Streep, Leonardo DiCaprio, Jennifer Aniston, Tom Hanks",France,"February 22, 2016",2015,TV-14,1 Season,Dramas,A story about Bright.
s17,Movie,Triple Frontier 24,Martin Scorsese,"Cate Blanchett, Meryl Streep, Leonardo DiCaprio, Tom Hanks",India,"November 27, 2017",2016,PG,154 min,"Thrillers, Children & Family Movies",A story about Triple.
s18,Movie,6 Underground 3,Ryan Murphy,"Meryl Streep, Brad Pitt, Jennifer Aniston, Cate Blanchett",United States,"January 23, 2018",2017,TV-14,158 min,Dramas,A story about 6.
s19,TV Show,Project Power 1,David Fincher,"Meryl Streep, Brad Pitt, Tom Hanks, Cate Blanchett",Spain,"December 1, 2020",2020,PG-13,2 Season,International Movies,A story about Project.
s20,TV Show,Army of Thieves 13,,"Cate Blanchett, Jennifer Aniston, Leonardo DiCaprio, Tom Hanks",United States,"July 23, 2010",2008,PG-13,5 Season,Romantic Movies,A story about Army.
s21,TV Show,The Crown 41,,"Leonardo DiCaprio, Meryl Streep",Germany,"July 13, 2016",2014,TV-14,5 Season,Comedies,A story about The.
s22,Movie,Stranger Things 9,Alfonso Cuarón,"Jennifer Aniston, Tom Hanks, Leonardo DiCaprio",France,"May 19, 2010",2009,TV-PG,119 min,"Children & Family Movies, Action & Adventure",A story about Stranger.
s23,Movie,Breaking Bad 21,Christopher Nolan,"Jennifer Aniston, Meryl Streep, Cate Blanchett, Tom Hanks",Spain,"November 21, 2011",2011,TV-PG,156 min,Children & Family Movies,A story about Breaking.
s24,TV Show,Narcos 40,David Fincher,"Leonardo DiCaprio, Meryl Streep",France,"March 26, 2019",2019,TV-MA,2 Season,"Action & Adventure, Horror Movies",A story about Narcos.
s25,Movie,Dark 16,Ryan Murphy,"Tom Hanks, Brad Pitt, Jennifer Aniston",United States,"March 23, 2016",2016,PG,111 min,"Horror Movies, Children & Family Movies",A story about Dark.
s26,Movie,Money Heist 48,,"Cate Blanchett, Leonardo DiCaprio",South Korea,"March 11, 2009",2008,TV-MA,88 min,Children & Family Movies,A story about Money.
s27,Movie,Squid Game 28,,"Leonardo DiCaprio, Brad Pitt",United States,"November 7, 2021",2021,TV-14,154 min,Documentaries,A story about Squid.
s28,Movie,Ozark 38,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio, Cate Blanchett",United States,"September 24, 2014",2014,TV-MA,107 min,International Movies,A story about Ozark.
s29,Movie,Mindhunter 47,Ava DuVernay,"Leonardo DiCaprio, Meryl Streep, Brad Pitt, Jennifer Aniston",France,"October 4, 2021",2021,TV-PG,159 min,"Comedies, Action & Adventure",A story about Mindhunter.
s30,Movie,Lupin 37,Christopher Nolan,"Jennifer Aniston, Cate Blanchett",United Kingdom,"July 12, 2017",2017,TV-MA,165 min,Children & Family Movies,A story about Lupin.
s31,Movie,Inception 45,Ava DuVernay,"Cate Blanchett, Leonardo DiCaprio, Brad Pitt",United Kingdom,"December 5, 2018",2017,TV-14,86 min,"Horror Movies, Documentaries",A story about Inception.
s32,Movie,The Irishman 18,,"Tom Hanks, Brad Pitt, Jennifer Aniston, Leonardo DiCaprio",United States,"June 9, 2016",2016,TV-14,163 min,"Romantic Movies, Comedies",A story about The.
s33,Movie,Bird Box 10,Ava DuVernay,"Brad Pitt, Leonardo DiCaprio, Jennifer Aniston, Meryl Streep",United States,"August 5, 2010",2009,NR,179 min,"Documentaries, Horror Movies",A story about Bird.
s34,Movie,Extraction 33,David Fincher,"Tom Hanks, Jennifer Aniston, Brad Pitt, Leonardo DiCaprio",South Korea,"May 3, 2018",2016,TV-PG,78 min,Documentaries,A story about Extraction.
s35,Movie,The Old Guard 22,Alfonso Cuarón,,Canada,"January 6, 2017",2016,TV-14,103 min,Children & Family Movies,A story about The.
s36,Movie,Bright 48,David Fincher,"Leonardo DiCaprio, Jennifer Aniston, Tom Hanks",United States,"May 19, 2012",2011,TV-14,131 min,Thrillers,A story about Bright.
s37,Movie,Triple Frontier 42,Ava DuVernay,"Brad Pitt, Meryl Streep, Jennifer Aniston",United Kingdom,"February 22, 2018",2016,TV-PG,139 min,Comedies,A story about Triple.
s38,Movie,6 Underground 36,Martin Scorsese,"Jennifer Aniston, Meryl Streep",United States,"November 7, 2019",2017,TV-14,169 min,"Romantic Movies, Thrillers",A story about 6.
s39,Movie,Project Power 20,David Fincher,"Leonardo DiCaprio, Cate Blanchett",United States,"September 13, 2011",2009,NR,88 min,"Action & Adventure, International Movies",A story about Project.
s40,Movie,Army of Thieves 23,,"Meryl Streep, Jennifer Aniston, Cate Blanchett",United States,"April 7, 2016",2015,PG-13,77 min,"Comedies, Documentaries",A story about Army.
s41,TV Show,The Crown 27,Ryan Murphy,"Jennifer Aniston, Meryl Streep, Cate Blanchett, Leonardo DiCaprio",India,"November 12, 2016",2015,TV-MA,5 Season,Sci-Fi & Fantasy,A story about The.
s42,Movie,Stranger Things 6,Guillermo del Toro,"Cate Blanchett, Tom Hanks, Meryl Streep",Japan,"November 7, 2022",2021,TV-MA,128 min,"Action & Adventure, Dramas",A story about Stranger.
s43,Movie,Breaking Bad 13,Guillermo del Toro,"Tom Hanks, Jennifer Aniston",United States,"July 14, 2018",2017,TV-MA,115 min,Action & Adventure,A story about Breaking.
s44,TV Show,Narcos 33,,"Leonardo DiCaprio, Cate Blanchett, Meryl Streep, Brad Pitt",Canada,"November 4, 2017",2017,TV-PG,1 Season,"Thrillers, Horror Movies",A story about Narcos.
s45,TV Show,Dark 28,,"Tom Hanks, Brad Pitt, Jennifer Aniston, Leonardo DiCaprio",United States,"January 3, 2014",2013,TV-14,5 Season,"Horror Movies, Dramas",A story about Dark.
s46,Movie,Money Heist 2,,"Tom Hanks, Brad Pitt, Jennifer Aniston, Leonardo DiCaprio",Brazil,"October 18, 2012",2011,TV-MA,118 min,"Children & Family Movies, Sci-Fi & Fantasy",A story about Money.
s47,Movie,Squid Game 45,,"Leonardo DiCaprio, Tom Hanks",South Korea,"September 7, 2010",2009,TV-PG,139 min,Documentaries,A story about Squid.
s48,Movie,Ozark 12,Martin Scorsese,"Meryl Streep, Tom Hanks, Leonardo DiCaprio, Brad Pitt",United States,"August 19, 2021",2019,PG,94 min,"International Movies, Thrillers",A story about Ozark.
s49,Movie,Mindhunter 12,Guillermo del Toro,"Cate Blanchett, Meryl Streep, Brad Pitt",United States,"March 19, 2019",2017,TV-MA,161 min,"Action & Adventure, Children & Family Movies",A story about Mindhunter.
s50,Movie,Lupin 30,Christopher Nolan,"Leonardo DiCaprio, Meryl Streep, Brad Pitt",India,"September 27, 2019",2019,R,94 min,"International Movies, Documentaries",A story about Lupin.
s51,Movie,Inception 32,Guillermo del Toro,"Meryl Streep, Tom Hanks, Jennifer Aniston",South Korea,"July 27, 2012",2010,TV-PG,104 min,"Romantic Movies, Thrillers",A story about Inception.
s52,Movie,The Irishman 42,Ryan Murphy,"Meryl Streep, Cate Blanchett, Tom Hanks",United States,"July 5, 2015",2015,TV-PG,145 min,"Dramas, Comedies",A story about The.
s53,Movie,Bird Box 34,David Fincher,,United States,"February 14, 2021",2021,G,164 min,Sci-Fi & Fantasy,A story about Bird.
s54,Movie,Extraction 13,Christopher Nolan,,United States,,2020,TV-MA,91 min,Action & Adventure,A story about Extraction.
s55,Movie,The Old Guard 14,Ava DuVernay,"Jennifer Aniston, Cate Blanchett",Germany,"December 24, 2010",2010,R,80 min,"Sci-Fi & Fantasy, Thrillers",A story about The.
s56,Movie,Bright 13,Ava DuVernay,"Cate Blanchett, Brad Pitt, Jennifer Aniston",United States,"January 12, 2017",2017,TV-MA,142 min,Thrillers,A story about Bright.
s57,Movie,Triple Frontier 36,Guillermo del Toro,"Jennifer Aniston, Brad Pitt, Leonardo DiCaprio",South Korea,"March 7, 2019",2018,TV-MA,100 min,Sci-Fi & Fantasy,A story about Triple.
s58,Movie,6 Underground 25,Martin Scorsese,"Jennifer Aniston, Tom Hanks, Cate Blanchett",United Kingdom,"May 19, 2008",2008,TV-PG,108 min,Children & Family Movies,A story about 6.
s59,Movie,Project Power 41,Alfonso Cuarón,"Cate Blanchett, Meryl Streep",India,"March 2, 2022",2020,TV-14,130 min,International Movies,A story about Project.
s60,TV Show,Army of Thieves 10,David Fincher,"Meryl Streep, Brad Pitt, Leonardo DiCaprio",India,"October 26, 2020",2018,R,1 Season,"Horror Movies, Action & Adventure",A story about Army.
s61,Movie,The Crown 41,Alfonso Cuarón,"Cate Blanchett, Brad Pitt, Meryl Streep",United States,"July 14, 2021",2020,PG-13,131 min,"International Movies, Sci-Fi & Fantasy",A story about The.
s62,TV Show,Stranger Things 12,Alfonso Cuarón,"Brad Pitt, Meryl Streep, Jennifer Aniston, Tom Hanks",France,"January 21, 2016",2014,TV-MA,4 Season,"Dramas, Horror Movies",A story about Stranger.
s63,Movie,Breaking Bad 1,David Fincher,"Cate Blanchett, Leonardo DiCaprio",France,"February 15, 2008",2008,TV-PG,93 min,Children & Family Movies,A story about Breaking.
s64,Movie,Narcos 24,Ava DuVernay,"Leonardo DiCaprio, Brad Pitt, Jennifer Aniston",United States,"January 20, 2012",2010,TV-PG,118 min,Comedies,A story about Narcos.
s65,Movie,Dark 12,Ava DuVernay,"Jennifer Aniston, Brad Pitt",South Korea,"August 6, 2010",2008,TV-MA,139 min,Documentaries,A story about Dark.
s66,Movie,Money Heist 36,,,France,"October 19, 2018",2018,R,166 min,"Thrillers, Action & Adventure",A story about Money.
s67,TV Show,Squid Game 49,,"Cate Blanchett, Jennifer Aniston",India,"February 21, 2016",2015,R,4 Season,Thrillers,A story about Squid.
s68,TV Show,Ozark 39,,"Cate Blanchett, Tom Hanks, Meryl Streep",United States,"November 2, 2012",2010,PG,3 Season,Action & Adventure,A story about Ozark.
s69,TV Show,Mindhunter 49,Christopher Nolan,"Brad Pitt, Tom Hanks, Leonardo DiCaprio",South Korea,"June 26, 2022",2021,TV-14,1 Season,Romantic Movies,A story about Mindhunter.
s70,Movie,Lupin 3,Ryan Murphy,"Tom Hanks, Meryl Streep, Jennifer Aniston, Brad Pitt",United States,"October 9, 2015",2015,TV-MA,123 min,"Action & Adventure, Comedies",A story about Lupin.
s71,Movie,Inception 43,,"Leonardo DiCaprio, Meryl Streep, Cate Blanchett, Jennifer Aniston",France,"March 10, 2018",2018,TV-14,102 min,"Action & Adventure, Romantic Movies",A story about Inception.
s72,Movie,The Irishman 20,David Fincher,"Cate Blanchett, Jennifer Aniston, Meryl Streep, Brad Pitt",United States,"February 13, 2018",2016,PG-13,75 min,Romantic Movies,A story about The.
s73,Movie,Bird Box 19,Guillermo del Toro,"Meryl Streep, Tom Hanks",United States,"September 19, 2017",2015,TV-PG,72 min,Action & Adventure,A story about Bird.
s74,Movie,Extraction 41,Guillermo del Toro,"Tom Hanks, Jennifer Aniston",United States,"October 3, 2016",2016,R,88 min,Horror Movies,A story about Extraction.
s75,Movie,The Old Guard 28,,"Leonardo DiCaprio, Meryl Streep, Brad Pitt",Brazil,"June 13, 2014",2014,PG-13,177 min,Children & Family Movies,A story about The.
s76,Movie,Bright 36,Ryan Murphy,"Cate Blanchett, Tom Hanks",United Kingdom,"August 15, 2011",2011,TV-MA,141 min,"Comedies, Sci-Fi & Fantasy",A story about Bright.
s77,Movie,Triple Frontier 46,Guillermo del Toro,"Meryl Streep, Jennifer Aniston, Leonardo DiCaprio, Tom Hanks",United States,"July 7, 2014",2012,G,168 min,Comedies,A story about Triple.
s78,Movie,6 Underground 30,Guillermo del Toro,"Meryl Streep, Cate Blanchett, Leonardo DiCaprio",Canada,,2014,G,170 min,Action & Adventure,A story about 6.
s79,Movie,Project Power 22,Ava DuVernay,"Brad Pitt, Meryl Streep, Jennifer Aniston, Tom Hanks",United States,"August 24, 2022",2021,TV-14,149 min,"Documentaries, Dramas",A story about Project.
s80,Movie,Army of Thieves 42,Ryan Murphy,"Leonardo DiCaprio, Tom Hanks, Jennifer Aniston",United Kingdom,"January 2, 2017",2015,TV-MA,125 min,"Action & Adventure, Horror Movies",A story about Army.
s81,TV Show,The Crown 45,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio, Brad Pitt",South Korea,"January 23, 2017",2016,TV-MA,3 Season,Children & Family Movies,A story about The.
s82,Movie,Stranger Things 37,Alfonso Cuarón,"Meryl Streep, Brad Pitt",United Kingdom,"November 19, 2019",2019,TV-14,91 min,Dramas,A story about Stranger.
s83,TV Show,Breaking Bad 34,Christopher Nolan,"Tom Hanks, Leonardo DiCaprio",United States,,2011,TV-14,4 Season,International Movies,A story about Breaking.
s84,Movie,Narcos 46,,"Tom Hanks, Leonardo DiCaprio, Jennifer Aniston",United Kingdom,"June 17, 2013",2011,TV-PG,177 min,Romantic Movies,A story about Narcos.
s85,TV Show,Dark 30,Ryan Murphy,"Meryl Streep, Tom Hanks, Jennifer Aniston, Leonardo DiCaprio",France,"March 4, 2013",2013,PG,3 Season,"Documentaries, Horror Movies",A story about Dark.
s86,Movie,Money Heist 32,,"Leonardo DiCaprio, Tom Hanks, Cate Blanchett, Brad Pitt",United States,"December 14, 2015",2013,PG-13,83 min,Documentaries,A story about Money.
s87,Movie,Squid Game 12,,"Cate Blanchett, Leonardo DiCaprio, Brad Pitt",United States,"February 3, 2012",2011,TV-PG,138 min,"Romantic Movies, Dramas",A story about Squid.
s88,Movie,Ozark 31,Ava DuVernay,"Jennifer Aniston, Brad Pitt, Leonardo DiCaprio",United States,"June 18, 2009",2009,TV-MA,151 min,Horror Movies,A story about Ozark.
s89,Movie,Mindhunter 12,Guillermo del Toro,"Leonardo DiCaprio, Jennifer Aniston, Tom Hanks",United States,"September 3, 2016",2015,PG,160 min,"Thrillers, Comedies",A story about Mindhunter.
s90,Movie,Lupin 45,,"Tom Hanks, Meryl Streep, Brad Pitt",United Kingdom,"October 21, 2010",2009,TV-MA,77 min,"Action & Adventure, Horror Movies",A story about Lupin.
s91,TV Show,Inception 37,David Fincher,"Meryl Streep, Tom Hanks, Brad Pitt, Leonardo DiCaprio",United States,"July 13, 2022",2021,PG-13,3 Season,Romantic Movies,A story about Inception.
s92,Movie,The Irishman 42,Ryan Murphy,"Jennifer Aniston, Tom Hanks",United States,"July 14, 2019",2018,TV-14,172 min,Dramas,A story about The.
s93,Movie,Bird Box 24,,"Brad Pitt, Tom Hanks, Leonardo DiCaprio",United States,"May 24, 2010",2010,TV-14,126 min,"Comedies, Sci-Fi & Fantasy",A story about Bird.
s94,Movie,Extraction 31,Guillermo del Toro,"Cate Blanchett, Brad Pitt, Meryl Streep",Canada,"January 9, 2011",2009,PG,112 min,Dramas,A story about Extraction.
s95,Movie,The Old Guard 28,Ryan Murphy,"Tom Hanks, Jennifer Aniston",United States,"July 13, 2014",2014,TV-MA,72 min,"Comedies, Romantic Movies",A story about The.
s96,TV Show,Bright 38,David Fincher,"Brad Pitt, Cate Blanchett, Jennifer Aniston",France,"August 27, 2018",2016,TV-MA,2 Season,"Thrillers, Romantic Movies",A story about Bright.
s97,TV Show,Triple Frontier 24,Christopher Nolan,"Jennifer Aniston, Tom Hanks, Brad Pitt, Meryl Streep",India,"October 13, 2020",2020,TV-MA,5 Season,"Comedies, Romantic Movies",A story about Triple.
s98,Movie,6 Underground 43,Martin Scorsese,,France,"March 9, 2014",2012,R,121 min,Children & Family Movies,A story about 6.
s99,Movie,Project Power 28,Martin Scorsese,"Brad Pitt, Cate Blanchett",South Korea,"August 25, 2012",2011,R,161 min,"International Movies, Comedies",A story about Project.
s100,Movie,Army of Thieves 38,,"Brad Pitt, Leonardo DiCaprio, Meryl Streep, Jennifer Aniston",United Kingdom,"July 8, 2022",2021,TV-MA,108 min,"Dramas, International Movies",A story about Army.
s101,Movie,The Crown 33,,"Leonardo DiCaprio, Meryl Streep, Jennifer Aniston",United States,"November 14, 2012",2012,TV-14,81 min,Horror Movies,A story about The.
s102,Movie,Stranger Things 4,Guillermo del Toro,"Cate Blanchett, Tom Hanks",United States,"July 8, 2009",2008,TV-MA,132 min,Dramas,A story about Stranger.
s103,Movie,Breaking Bad 8,,"Jennifer Aniston, Tom Hanks",Spain,"October 3, 2010",2009,TV-PG,79 min,Sci-Fi & Fantasy,A story about Breaking.
s104,TV Show,Narcos 29,Guillermo del Toro,"Tom Hanks, Meryl Streep",Spain,"December 2, 2008",2008,TV-MA,1 Season,Dramas,A story about Narcos.
s105,Movie,Dark 46,Guillermo del Toro,"Brad Pitt, Tom Hanks, Cate Blanchett, Meryl Streep",Germany,"March 9, 2021",2020,TV-14,72 min,Documentaries,A story about Dark.
s106,Movie,Money Heist 42,Christopher Nolan,"Leonardo DiCaprio, Brad Pitt",United States,"July 23, 2016",2016,TV-14,174 min,Romantic Movies,A story about Money.
s107,Movie,Squid Game 6,Ryan Murphy,"Jennifer Aniston, Meryl Streep, Tom Hanks",United Kingdom,"January 12, 2021",2020,TV-MA,70 min,Documentaries,A story about Squid.
s108,TV Show,Ozark 46,Christopher Nolan,"Brad Pitt, Tom Hanks, Leonardo DiCaprio",United States,"May 22, 2020",2019,TV-PG,4 Season,"Horror Movies, Comedies",A story about Ozark.
s109,TV Show,Mindhunter 40,,"Meryl Streep, Cate Blanchett, Brad Pitt",United Kingdom,"July 1, 2011",2009,NR,2 Season,Thrillers,A story about Mindhunter.
s110,Movie,Lupin 49,Christopher Nolan,"Tom Hanks, Leonardo DiCaprio, Jennifer Aniston, Brad Pitt",India,"February 2, 2022",2020,TV-14,95 min,Comedies,A story about Lupin.
s111,Movie,Inception 15,Ava DuVernay,"Meryl Streep, Brad Pitt",United States,"September 3, 2021",2021,TV-MA,159 min,"Dramas, Comedies",A story about Inception.
